,data_transakcji,data_księgowania,dane_kontrahenta,tytuł,nr_rachunku,nazwa_banku,nr_transakcji,kwota_transakcji_(waluta_rachunku),waluta,konto,saldo_po_transakcji,waluta_salda,red_flag
164,2019-11-02,2019-11-03,ATM ING,Płatność ATM ING,PL83405317453995821001166074,Santander,4128768918,-1067.45,PLN,Konto w USD,-3675200.54,PLN,0
165,2019-11-04,2019-11-06,Lidl,Płatność Lidl,PL25210205028157971340265052,Millennium,7422005186,-131.26,PLN,Konto w USD,-3675331.8,PLN,0
166,2019-11-05,2019-11-06,ATM ING,Płatność ATM ING,PL94295504074970725688461570,Millennium,8158715028,-1055.66,PLN,Moje,-3676387.46,PLN,0
167,2019-11-09,2019-11-10,Booking.com,Płatność Booking.com,PL34985499462249174482151919,Santander,9264884678,-742.27,EUR,Wspólne,-3677129.73,EUR,0
168,2019-11-12,2019-11-14,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL77310092616590571131390210,Santander,9638008427,-381783.06,PLN,Wspólne,-4058912.79,PLN,1
169,2019-11-13,2019-11-15,Orlen,Płatność Orlen,PL71150144017935427464563112,mBank,1725884178,-228.72,PLN,Moje,-4059141.51,PLN,0
170,2019-11-18,2019-11-20,Orlen,Płatność Orlen,PL92858523614711355800018288,ING,5877274935,-158.29,PLN,Konto w EUR,-4059299.8,PLN,0
171,2019-11-20,2019-11-20,Biuro Notarialne,Płatność Biuro Notarialne,PL77132574433991619961200195,mBank,8885327450,-9906.48,PLN,Konto w USD,-4069206.28,PLN,0
172,2019-11-20,2019-11-21,PGNiG,Płatność PGNiG,PL13812343074858657631379399,mBank,9311053254,-122.0,PLN,Moje,-4069328.28,PLN,0
173,2019-11-21,2019-11-21,Orlen,Płatność Orlen,PL69967612373547679882235538,mBank,3502730449,-121.87,PLN,Moje,-4069450.15,PLN,0
174,2019-11-24,2019-11-24,ATM ING,Płatność ATM ING,PL64543588603845314765520560,Santander,9988561480,-967.3,PLN,Konto w USD,-4070417.45,PLN,0
175,2019-11-24,2019-11-24,Booking.com,Płatność Booking.com,PL57717926465051406363356647,Millennium,2840524582,-665.87,EUR,Moje,-4071083.32,EUR,0
176,2019-11-30,2019-12-01,Urząd Skarbowy,Płatność Urząd Skarbowy,PL51744839095874728719728477,Millennium,9366141694,-8643.21,PLN,Konto w USD,-4079726.53,PLN,0
177,2019-12-09,2019-12-11,Urząd Skarbowy,Płatność Urząd Skarbowy,PL12578055017913489828104614,PKO BP,3532530033,-7836.71,PLN,Moje,-4087563.24,PLN,0
178,2019-12-11,2019-12-11,PKO BP,Płatność PKO BP,PL62596263359057384352738683,ING,9863987260,1465.92,PLN,Konto w USD,-4086097.32,PLN,0
179,2019-12-13,2019-12-13,Biedronka,Płatność Biedronka,PL72129132525838981341049748,Millennium,2480172663,-272.03,PLN,Wspólne,-4086369.35,PLN,0
180,2019-12-14,2019-12-16,STS.pl,Płatność STS.pl,PL28424604675899120326039272,Millennium,5362300755,-531.42,PLN,Wspólne,-4086900.77,PLN,1
181,2019-12-15,2019-12-16,Biedronka,Płatność Biedronka,PL50492905623938623759420495,PKO BP,9180617906,-56.14,PLN,Konto w USD,-4086956.91,PLN,0
182,2019-12-19,2019-12-19,ATM ING,Płatność ATM ING,PL79824810727693496624342959,mBank,6322400882,-537.43,PLN,Konto w EUR,-4087494.34,PLN,0
183,2019-12-26,2019-12-27,Zabka,Płatność Zabka,PL24239663228305779626491572,mBank,6605256729,-145.51,PLN,Konto w EUR,-4087639.85,PLN,0
184,2019-12-30,2020-01-01,Santander Leasing,Płatność Santander Leasing,PL49569548013730624935786887,ING,8388894666,-2613.95,PLN,Konto w USD,-4090253.8,PLN,0
185,2020-01-03,2020-01-05,Allegro,Płatność Allegro,PL49364304426319293570338377,mBank,4111933993,-127.71,PLN,Konto w EUR,-4090381.51,PLN,0
186,2020-01-04,2020-01-06,Firma XYZ,Płatność Firma XYZ,PL40735992906076214368558081,mBank,3176159094,7482.97,PLN,Konto w EUR,-4082898.54,PLN,0
187,2020-01-05,2020-01-05,Auto Komis Katowice,Płatność Auto Komis Katowice,PL76378283239385007057949768,PKO BP,8965772796,-56121.14,PLN,Konto w USD,-4139019.68,PLN,1
188,2020-01-06,2020-01-06,Allegro,Płatność Allegro,PL56378431876901733037921029,Millennium,2345140115,-147.23,PLN,Wspólne,-4139166.91,PLN,0
189,2020-01-06,2020-01-06,Zabka,Płatność Zabka,PL83156419741008930612456687,mBank,7547784647,-174.92,PLN,Moje,-4139341.83,PLN,0
190,2020-01-12,2020-01-12,MediaMarkt,Płatność MediaMarkt,PL34614583470981346432459095,Santander,6376535626,-2851.64,PLN,Wspólne,-4142193.47,PLN,0
191,2020-01-15,2020-01-16,Santander Leasing,Płatność Santander Leasing,PL65093138668539142414745194,ING,8689905174,-2996.18,PLN,Konto w EUR,-4145189.65,PLN,0
192,2020-01-20,2020-01-22,Biedronka,Płatność Biedronka,PL51647389929793836357529062,Santander,2990636104,-212.53,PLN,Moje,-4145402.18,PLN,0
193,2020-01-20,2020-01-22,Biedronka,Płatność Biedronka,PL97761366226456857707034700,ING,8288314594,-256.05,PLN,Konto w USD,-4145658.23,PLN,0
194,2020-01-26,2020-01-26,Amazon,Płatność Amazon,PL31954648997927189923109601,Millennium,6646732159,-733.88,USD,Konto w EUR,-4146392.11,USD,0
195,2020-01-27,2020-01-27,Zabka,Płatność Zabka,PL19816177131566598933803783,Santander,5886415510,-63.5,PLN,Konto w EUR,-4146455.61,PLN,0
196,2020-01-30,2020-02-01,PKO BP,Płatność PKO BP,PL10752915591973205427606352,mBank,9557538383,3866.3,PLN,Moje,-4142589.31,PLN,0
197,2020-02-02,2020-02-03,STS.pl,Płatność STS.pl,PL42452237346451191578385512,mBank,1278014046,-1922.9,PLN,Konto w USD,-4144512.21,PLN,1
198,2020-02-02,2020-02-03,Biuro Notarialne,Płatność Biuro Notarialne,PL86051438656417373943939371,Millennium,8552409831,-9059.29,PLN,Wspólne,-4153571.5,PLN,0
199,2020-02-10,2020-02-11,Booking.com,Płatność Booking.com,PL25562520110314935974753770,ING,1610899978,-807.61,EUR,Konto w EUR,-4154379.11,EUR,0
200,2020-02-14,2020-02-16,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL35821860617162293256845409,Santander,2537468258,-355838.5,PLN,Konto w USD,-4510217.61,PLN,1
201,2020-02-15,2020-02-17,Vattenfall,Płatność Vattenfall,PL38345523466127048707906848,mBank,9809461360,-172.35,PLN,Konto w EUR,-4510389.96,PLN,0
202,2020-02-15,2020-02-17,Lidl,Płatność Lidl,PL63937290005502750240612474,mBank,5639625630,-106.81,PLN,Konto w USD,-4510496.77,PLN,0
203,2020-02-16,2020-02-18,Biedronka,Płatność Biedronka,PL45923513787763621180258997,mBank,1402726139,-409.18,PLN,Konto w USD,-4510905.95,PLN,0
204,2020-02-18,2020-02-19,PGNiG,Płatność PGNiG,PL14835808397923761311535496,Santander,5877847867,-147.52,PLN,Wspólne,-4511053.47,PLN,0
205,2020-02-20,2020-02-20,Auto Komis Katowice,Płatność Auto Komis Katowice,PL40916991280054283063360669,PKO BP,7194467511,-57678.02,PLN,Konto w USD,-4568731.49,PLN,1
206,2020-02-24,2020-02-26,PKO BP,Płatność PKO BP,PL23442324030499377673998971,mBank,8861745803,9978.03,PLN,Konto w EUR,-4558753.46,PLN,0
207,2020-02-25,2020-02-27,Santander Leasing,Płatność Santander Leasing,PL75827773668259449107808217,mBank,4792328066,-2662.97,PLN,Wspólne,-4561416.43,PLN,0
208,2020-03-03,2020-03-04,Santander Leasing,Płatność Santander Leasing,PL28341367522621470756703267,Millennium,8108182561,-1834.5,PLN,Konto w USD,-4563250.93,PLN,0
209,2020-03-03,2020-03-04,STS.pl,Płatność STS.pl,PL19162422756830631840608831,Santander,3452511942,-126.82,PLN,Moje,-4563377.75,PLN,1
210,2020-03-12,2020-03-13,Biuro Notarialne,Płatność Biuro Notarialne,PL61997674774085107474223444,ING,5549728898,-11329.03,PLN,Konto w EUR,-4574706.78,PLN,1
211,2020-04-01,2020-04-03,Biedronka,Płatność Biedronka,PL32103212302296155942130683,PKO BP,7093583669,-370.52,PLN,Wspólne,-4575077.3,PLN,0
212,2020-04-04,2020-04-05,PKO BP,Płatność PKO BP,PL43318080454467623703796298,mBank,4357138100,9502.61,PLN,Moje,-4565574.69,PLN,0
213,2020-04-24,2020-04-26,PGNiG,Płatność PGNiG,PL23996705688580867320401206,mBank,3792643135,-160.17,PLN,Moje,-4565734.86,PLN,0
214,2020-04-25,2020-04-26,ATM ING,Płatność ATM ING,PL72011169643483294993448163,mBank,2573108158,-680.09,PLN,Wspólne,-4566414.95,PLN,0
215,2020-04-26,2020-04-26,Auto Komis Katowice,Płatność Auto Komis Katowice,PL26567799997807906607860765,PKO BP,2096727229,-47635.56,PLN,Konto w USD,-4614050.51,PLN,1
216,2020-04-29,2020-05-01,Urząd Skarbowy,Płatność Urząd Skarbowy,PL82196394324215463668239574,PKO BP,1274548823,-8602.65,PLN,Konto w EUR,-4622653.16,PLN,0
217,2020-04-29,2020-04-30,PGNiG,Płatność PGNiG,PL77448956320560735898133893,Millennium,2599927545,-167.24,PLN,Moje,-4622820.4,PLN,0
218,2020-05-01,2020-05-02,Biedronka,Płatność Biedronka,PL84865808024564236033716497,Santander,3759588762,-358.55,PLN,Konto w EUR,-4623178.95,PLN,0
219,2020-05-03,2020-05-04,Zabka,Płatność Zabka,PL27747770830249570528529964,Santander,3598269004,-93.44,PLN,Konto w USD,-4623272.39,PLN,0
220,2020-05-03,2020-05-04,PokerStars,Płatność PokerStars,PL43057551393874285040908897,PKO BP,3187141812,-1636.91,EUR,Konto w USD,-4624909.3,EUR,1
221,2020-05-08,2020-05-09,ATM ING,Płatność ATM ING,PL18290367886073893247023322,Millennium,3100976852,-1090.9,PLN,Wspólne,-4626000.2,PLN,0
222,2020-05-09,2020-05-09,STS.pl,Płatność STS.pl,PL71443637187143546666823815,Millennium,4865009241,-286.11,PLN,Konto w EUR,-4626286.31,PLN,1
223,2020-05-09,2020-05-11,Orlen,Płatność Orlen,PL31185631022155504386522948,Millennium,7232946249,-143.57,PLN,Moje,-4626429.88,PLN,0
224,2020-05-12,2020-05-14,Orlen,Płatność Orlen,PL67743715340452510830654934,PKO BP,5537545737,-228.69,PLN,Konto w EUR,-4626658.57,PLN,0
225,2020-05-19,2020-05-19,PokerStars,Płatność PokerStars,PL37479431899251697167482516,ING,8070383546,-197.13,EUR,Wspólne,-4626855.7,EUR,1
226,2020-05-19,2020-05-21,Auto Komis Katowice,Płatność Auto Komis Katowice,PL63574964368373531655215243,ING,7011945150,-52415.51,PLN,Konto w USD,-4679271.21,PLN,1
227,2020-05-20,2020-05-22,Biedronka,Płatność Biedronka,PL52121001146667852436330593,ING,6178508409,-156.98,PLN,Konto w USD,-4679428.19,PLN,0
228,2020-05-24,2020-05-26,Orlen,Płatność Orlen,PL20647435323073083271501980,Millennium,1627905541,-235.88,PLN,Konto w USD,-4679664.07,PLN,0
229,2020-05-24,2020-05-26,Auto Komis Katowice,Płatność Auto Komis Katowice,PL95024914117964091184887415,PKO BP,2917304394,-52574.83,PLN,Moje,-4732238.9,PLN,1
230,2020-05-27,2020-05-27,Biedronka,Płatność Biedronka,PL47708319573691300535747199,PKO BP,6501068329,-442.11,PLN,Moje,-4732681.01,PLN,0
231,2020-05-31,2020-06-01,PKO BP,Płatność PKO BP,PL10452150890660347592637854,ING,6021070068,5682.17,PLN,Wspólne,-4726998.84,PLN,0
232,2020-06-03,2020-06-05,STS.pl,Płatność STS.pl,PL40482243665752489444517755,ING,8181693747,-159.9,PLN,Moje,-4727158.74,PLN,1
233,2020-06-04,2020-06-04,Santander Leasing,Płatność Santander Leasing,PL46760468842617772268720956,Millennium,9959102941,-2066.72,PLN,Konto w USD,-4729225.46,PLN,0
234,2020-06-06,2020-06-07,Amazon,Płatność Amazon,PL82087810037709770024605956,Millennium,7382716294,-597.17,USD,Konto w USD,-4729822.63,USD,0
235,2020-06-09,2020-06-11,STS.pl,Płatność STS.pl,PL30023910321074426669181165,ING,4080657131,-187.73,PLN,Moje,-4730010.36,PLN,1
236,2020-06-11,2020-06-11,Lidl,Płatność Lidl,PL77112060950764187288449831,PKO BP,4411393967,-189.6,PLN,Konto w EUR,-4730199.96,PLN,0
237,2020-06-11,2020-06-12,PKO BP,Płatność PKO BP,PL91872129000536595397506650,mBank,4236149857,2212.88,PLN,Konto w EUR,-4727987.08,PLN,0
238,2020-06-11,2020-06-13,PGNiG,Płatność PGNiG,PL75040699102929854248198409,Millennium,3029848575,-148.94,PLN,Konto w USD,-4728136.02,PLN,0
239,2020-06-12,2020-06-12,Urząd Skarbowy,Płatność Urząd Skarbowy,PL76196684430043461688879730,Santander,1336069787,-6030.59,PLN,Konto w USD,-4734166.61,PLN,0
240,2020-06-13,2020-06-14,Orlen,Płatność Orlen,PL87529999153102334471961390,Millennium,2828183125,-246.87,PLN,Konto w EUR,-4734413.48,PLN,0
241,2020-06-13,2020-06-14,Firma XYZ,Płatność Firma XYZ,PL94164882831025936189594931,PKO BP,5037078715,6659.83,PLN,Konto w EUR,-4727753.65,PLN,0
242,2020-06-15,2020-06-17,Urząd Skarbowy,Płatność Urząd Skarbowy,PL40267198131214252793509591,Millennium,7548763875,-6966.51,PLN,Konto w EUR,-4734720.16,PLN,0
243,2020-06-19,2020-06-19,Biedronka,Płatność Biedronka,PL54672589980383092996357271,Santander,5129245075,-124.64,PLN,Konto w EUR,-4734844.8,PLN,0
244,2020-06-20,2020-06-22,PGNiG,Płatność PGNiG,PL37220557543809446190269926,Santander,2822195389,-183.0,PLN,Wspólne,-4735027.8,PLN,0
245,2020-06-23,2020-06-25,Zabka,Płatność Zabka,PL21082400048557718722770102,Santander,2280717524,-73.43,PLN,Moje,-4735101.23,PLN,0
246,2020-06-23,2020-06-24,Urząd Skarbowy,Płatność Urząd Skarbowy,PL27438652139886984326309717,Millennium,2810321015,-5113.41,PLN,Konto w USD,-4740214.64,PLN,0
247,2020-06-24,2020-06-25,Vattenfall,Płatność Vattenfall,PL70086215152745902253990937,mBank,1093834239,-221.88,PLN,Konto w USD,-4740436.52,PLN,0
248,2020-06-25,2020-06-27,Auto Komis Katowice,Płatność Auto Komis Katowice,PL10462667055335465553440225,ING,6239384745,-53380.99,PLN,Wspólne,-4793817.51,PLN,1
249,2020-06-25,2020-06-27,Firma XYZ,Płatność Firma XYZ,PL22187207509919125371229443,mBank,5089189426,7593.4,PLN,Moje,-4786224.11,PLN,0
250,2020-06-25,2020-06-27,STS.pl,Płatność STS.pl,PL61038809061946807046781141,Millennium,6252977800,-1016.85,PLN,Moje,-4787240.96,PLN,1
251,2020-06-26,2020-06-28,Biedronka,Płatność Biedronka,PL32461487654093951626361494,Millennium,1404533615,-458.53,PLN,Konto w USD,-4787699.49,PLN,0
252,2020-06-26,2020-06-27,STS.pl,Płatność STS.pl,PL84247652013806080016067417,ING,3227343782,-343.74,PLN,Moje,-4788043.23,PLN,1
253,2020-06-27,2020-06-27,Booking.com,Płatność Booking.com,PL18267639806995850747822887,Santander,8113191226,-559.65,EUR,Konto w USD,-4788602.88,EUR,0
254,2020-06-28,2020-06-29,PGNiG,Płatność PGNiG,PL34949116503304431914169300,PKO BP,5752190436,-166.53,PLN,Moje,-4788769.41,PLN,0
255,2020-06-28,2020-06-30,PKO BP,Płatność PKO BP,PL74606382033265708460397031,mBank,9997616420,3152.01,PLN,Moje,-4785617.4,PLN,0
256,2020-06-29,2020-06-29,Zabka,Płatność Zabka,PL64531118048328125110319483,Santander,4513180596,-97.88,PLN,Konto w USD,-4785715.28,PLN,0
257,2020-06-30,2020-07-02,PKO BP,Płatność PKO BP,PL73525008456823900963750970,PKO BP,1305074068,4476.25,PLN,Wspólne,-4781239.03,PLN,0
258,2020-07-06,2020-07-07,MediaMarkt,Płatność MediaMarkt,PL92075622146447039870113023,PKO BP,3996596068,-2779.42,PLN,Moje,-4784018.45,PLN,0
259,2020-07-08,2020-07-10,Allegro,Płatność Allegro,PL21893473670376896213409751,Santander,9551744392,-203.61,PLN,Konto w EUR,-4784222.06,PLN,0
260,2020-07-08,2020-07-10,Allegro,Płatność Allegro,PL27782885816038693610410670,Santander,6130209407,-244.74,PLN,Moje,-4784466.8,PLN,0
261,2020-07-08,2020-07-09,Amazon,Płatność Amazon,PL91531267380704811554562128,mBank,4641637153,-84.58,USD,Konto w EUR,-4784551.38,USD,0
262,2020-07-13,2020-07-14,Biuro Notarialne,Płatność Biuro Notarialne,PL65282873940499648471944005,mBank,8630116447,-11339.18,PLN,Wspólne,-4795890.56,PLN,1
263,2020-07-15,2020-07-15,PokerStars,Płatność PokerStars,PL84559436528017740472538633,mBank,3714924293,-1420.2,EUR,Wspólne,-4797310.76,EUR,1
264,2020-07-17,2020-07-19,PokerStars,Płatność PokerStars,PL26378150949289434417761374,Santander,8768401728,-1576.67,EUR,Moje,-4798887.43,EUR,1
265,2020-07-17,2020-07-17,Biuro Notarialne,Płatność Biuro Notarialne,PL96292380542777491454650554,ING,8866114553,-10802.26,PLN,Konto w USD,-4809689.69,PLN,1
266,2020-07-18,2020-07-18,Santander Leasing,Płatność Santander Leasing,PL26448167282569115558222513,PKO BP,4035117757,-2877.64,PLN,Konto w USD,-4812567.33,PLN,0
267,2020-07-18,2020-07-18,Biedronka,Płatność Biedronka,PL46096928134335236698833688,Millennium,7864363337,-104.68,PLN,Konto w EUR,-4812672.01,PLN,0
268,2020-07-20,2020-07-22,Vattenfall,Płatność Vattenfall,PL59260577398904366257879211,PKO BP,5697904032,-164.65,PLN,Konto w USD,-4812836.66,PLN,0
269,2020-07-25,2020-07-26,Allegro,Płatność Allegro,PL11342687631672451034072298,Santander,7862566641,-239.51,PLN,Konto w EUR,-4813076.17,PLN,0
270,2020-07-30,2020-07-31,Biuro Notarialne,Płatność Biuro Notarialne,PL66072868750767719091977448,Millennium,7607288921,-8184.57,PLN,Wspólne,-4821260.74,PLN,0
271,2020-07-30,2020-07-30,Vattenfall,Płatność Vattenfall,PL84811055794236065470768970,PKO BP,4975976994,-287.2,PLN,Konto w USD,-4821547.94,PLN,0
272,2020-08-01,2020-08-01,Firma XYZ,Płatność Firma XYZ,PL41907257174730229380869832,PKO BP,3020646988,7262.33,PLN,Konto w USD,-4814285.61,PLN,0
273,2020-08-08,2020-08-08,Orlen,Płatność Orlen,PL28727524475588736029151728,Santander,3821202205,-105.76,PLN,Konto w EUR,-4814391.37,PLN,0
274,2020-08-09,2020-08-11,Zabka,Płatność Zabka,PL30519481215940603712733166,PKO BP,3776006256,-147.14,PLN,Konto w EUR,-4814538.51,PLN,0
275,2020-08-11,2020-08-12,PKO BP,Płatność PKO BP,PL45518684074022761105230892,ING,4918568036,7039.28,PLN,Wspólne,-4807499.23,PLN,0
276,2020-08-11,2020-08-13,Amazon,Płatność Amazon,PL12230781395875469471812973,ING,8691868390,-361.26,USD,Konto w EUR,-4807860.49,USD,0
277,2020-08-17,2020-08-17,Vattenfall,Płatność Vattenfall,PL95533456576540804596788639,mBank,1132359443,-175.23,PLN,Konto w EUR,-4808035.72,PLN,0
278,2020-08-23,2020-08-23,Amazon,Płatność Amazon,PL11133153380699993056350152,Millennium,6616315434,-651.6,USD,Konto w USD,-4808687.32,USD,0
279,2020-08-24,2020-08-24,Urząd Skarbowy,Płatność Urząd Skarbowy,PL28261983161163158344659842,Millennium,6739635525,-8209.31,PLN,Konto w EUR,-4816896.63,PLN,0
280,2020-08-24,2020-08-26,Zabka,Płatność Zabka,PL25946237831740068520394260,mBank,7420945161,-130.28,PLN,Wspólne,-4817026.91,PLN,0
281,2020-08-24,2020-08-26,Biuro Notarialne,Płatność Biuro Notarialne,PL16024346302672076163056757,mBank,3732833956,-10156.61,PLN,Konto w EUR,-4827183.52,PLN,1
282,2020-09-03,2020-09-05,PokerStars,Płatność PokerStars,PL69659964924607431070999156,ING,1303220952,-1981.22,EUR,Wspólne,-4829164.74,EUR,1
283,2020-09-03,2020-09-03,PokerStars,Płatność PokerStars,PL38045309366655546230514270,Millennium,1753459205,-828.33,EUR,Wspólne,-4829993.07,EUR,1
284,2020-09-04,2020-09-06,Amazon,Płatność Amazon,PL76969804594321952858720650,Millennium,9585544957,-397.22,USD,Wspólne,-4830390.29,USD,0
285,2020-09-08,2020-09-09,STS.pl,Płatność STS.pl,PL93136878823641384389808934,Santander,9990528458,-1182.71,PLN,Konto w EUR,-4831573.0,PLN,1
286,2020-09-11,2020-09-13,Booking.com,Płatność Booking.com,PL93834231992020816017973126,PKO BP,8705134595,-843.03,EUR,Wspólne,-4832416.03,EUR,0
287,2020-09-12,2020-09-12,Vattenfall,Płatność Vattenfall,PL55502973733051896050041268,ING,6920813013,-248.06,PLN,Wspólne,-4832664.09,PLN,0
288,2020-09-15,2020-09-17,MediaMarkt,Płatność MediaMarkt,PL39604633726796349573767763,PKO BP,8756510899,-2617.02,PLN,Wspólne,-4835281.11,PLN,0
289,2020-09-15,2020-09-17,Amazon,Płatność Amazon,PL25865368890662663349005415,Millennium,6932419008,-224.45,USD,Konto w EUR,-4835505.56,USD,0
290,2020-09-18,2020-09-18,Biedronka,Płatność Biedronka,PL66012354253303155144717564,mBank,6049712757,-278.48,PLN,Wspólne,-4835784.04,PLN,0
291,2020-09-22,2020-09-22,Auto Komis Katowice,Płatność Auto Komis Katowice,PL61029349040011437040230976,mBank,5384403780,-47648.93,PLN,Konto w EUR,-4883432.97,PLN,1
292,2020-09-22,2020-09-24,Allegro,Płatność Allegro,PL99382001709162807854272688,mBank,1035462419,-121.81,PLN,Konto w USD,-4883554.78,PLN,0
293,2020-09-23,2020-09-25,Biuro Notarialne,Płatność Biuro Notarialne,PL60563526857642058220626132,PKO BP,8996744137,-11494.5,PLN,Konto w USD,-4895049.28,PLN,1
294,2020-09-23,2020-09-25,PokerStars,Płatność PokerStars,PL41166558524051864139898467,ING,7823427148,-185.12,EUR,Konto w EUR,-4895234.4,EUR,1
295,2020-09-24,2020-09-26,ATM ING,Płatność ATM ING,PL42846649831871319503080695,mBank,9529612215,-915.62,PLN,Konto w USD,-4896150.02,PLN,0
296,2020-09-25,2020-09-27,Firma XYZ,Płatność Firma XYZ,PL79630084231360453256866573,Millennium,7783431578,7274.52,PLN,Konto w USD,-4888875.5,PLN,0
297,2020-09-25,2020-09-26,Zabka,Płatność Zabka,PL77039136193275318840417340,Millennium,1221148990,-93.54,PLN,Konto w EUR,-4888969.04,PLN,0
298,2020-10-01,2020-10-03,Biuro Notarialne,Płatność Biuro Notarialne,PL14072323158834641234839267,PKO BP,9355126557,-9761.26,PLN,Moje,-4898730.3,PLN,0
299,2020-10-04,2020-10-04,PokerStars,Płatność PokerStars,PL74811000155850706508250590,Santander,8421255200,-845.16,EUR,Moje,-4899575.46,EUR,1
300,2020-10-04,2020-10-06,PokerStars,Płatność PokerStars,PL75359756604445596671824958,ING,3947313852,-245.49,EUR,Konto w USD,-4899820.95,EUR,1
301,2020-10-06,2020-10-06,Lidl,Płatność Lidl,PL37962288244001313374072355,PKO BP,9441977143,-159.46,PLN,Konto w USD,-4899980.41,PLN,0
302,2020-10-09,2020-10-09,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL53055381838997259680768174,mBank,9661397875,-453424.58,PLN,Konto w EUR,-5353404.99,PLN,1
303,2020-10-12,2020-10-14,Santander Leasing,Płatność Santander Leasing,PL84968494483080061248982031,mBank,2335162181,-2290.23,PLN,Wspólne,-5355695.22,PLN,0
304,2020-10-15,2020-10-16,Vattenfall,Płatność Vattenfall,PL77256285838863208105879020,ING,3524699378,-285.19,PLN,Konto w EUR,-5355980.41,PLN,0
305,2020-10-16,2020-10-16,Orlen,Płatność Orlen,PL18618693861631400352622703,PKO BP,7609599455,-124.87,PLN,Konto w USD,-5356105.28,PLN,0
306,2020-10-16,2020-10-17,Santander Leasing,Płatność Santander Leasing,PL89562749647823015477986503,ING,7997296331,-2693.48,PLN,Wspólne,-5358798.76,PLN,0
307,2020-10-18,2020-10-19,MediaMarkt,Płatność MediaMarkt,PL18011123371516730696104460,Santander,6136189693,-2470.24,PLN,Konto w EUR,-5361269.0,PLN,0
308,2020-10-23,2020-10-25,Amazon,Płatność Amazon,PL13363414853931623671633490,ING,5901855460,-39.68,USD,Konto w USD,-5361308.68,USD,0
309,2020-10-29,2020-10-31,Biuro Notarialne,Płatność Biuro Notarialne,PL10237339653484423256837182,mBank,2584299520,-9333.85,PLN,Konto w USD,-5370642.53,PLN,0
310,2020-10-31,2020-10-31,Orlen,Płatność Orlen,PL83479187924057406119914448,ING,4829107532,-170.06,PLN,Konto w USD,-5370812.59,PLN,0
311,2020-10-31,2020-10-31,PokerStars,Płatność PokerStars,PL40066937453517683308233880,Santander,6221099461,-888.41,EUR,Konto w EUR,-5371701.0,EUR,1
312,2020-11-02,2020-11-02,PGNiG,Płatność PGNiG,PL72356013370009596515232343,Millennium,2050571152,-136.9,PLN,Moje,-5371837.9,PLN,0
313,2020-11-02,2020-11-03,Auto Komis Katowice,Płatność Auto Komis Katowice,PL40356794928138126254108082,PKO BP,6887471533,-46079.09,PLN,Konto w USD,-5417916.99,PLN,1
314,2020-11-06,2020-11-08,Booking.com,Płatność Booking.com,PL29193004120500155720367437,Santander,6589698707,-502.94,EUR,Konto w EUR,-5418419.93,EUR,0
315,2020-11-08,2020-11-08,Orlen,Płatność Orlen,PL31030263895868275225630581,Santander,6980369649,-192.31,PLN,Konto w EUR,-5418612.24,PLN,0
316,2020-11-10,2020-11-10,Biedronka,Płatność Biedronka,PL95768817430624147168801679,Millennium,7424832732,-279.25,PLN,Konto w USD,-5418891.49,PLN,0
317,2020-11-12,2020-11-13,Urząd Skarbowy,Płatność Urząd Skarbowy,PL54141803100491376587642517,Millennium,8356686869,-7679.65,PLN,Wspólne,-5426571.14,PLN,0
318,2020-11-15,2020-11-15,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL49265901530739598554996661,ING,4367289409,-420828.32,PLN,Konto w USD,-5847399.46,PLN,1
319,2020-11-18,2020-11-20,Firma XYZ,Płatność Firma XYZ,PL53543382133397382923883722,ING,1645523507,7198.6,PLN,Konto w USD,-5840200.86,PLN,0
320,2020-11-19,2020-11-21,Santander Leasing,Płatność Santander Leasing,PL40905367896312192066485743,mBank,1379103373,-2360.7,PLN,Konto w EUR,-5842561.56,PLN,0
321,2020-11-25,2020-11-25,Lidl,Płatność Lidl,PL42180396262377980417309298,ING,9728740274,-171.98,PLN,Moje,-5842733.54,PLN,0
322,2020-11-25,2020-11-26,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL71653747934089196011449435,mBank,1644310097,-520221.16,PLN,Konto w EUR,-6362954.7,PLN,1
323,2020-12-06,2020-12-08,Vattenfall,Płatność Vattenfall,PL66551729934989021142837000,PKO BP,3906979852,-201.51,PLN,Konto w USD,-6363156.21,PLN,0
324,2020-12-08,2020-12-10,Santander Leasing,Płatność Santander Leasing,PL82174237601072643518036741,ING,1337933926,-2980.62,PLN,Moje,-6366136.83,PLN,0
325,2020-12-08,2020-12-08,Amazon,Płatność Amazon,PL22172712701430289330724477,Millennium,8454337824,-656.57,USD,Konto w EUR,-6366793.4,USD,0
326,2020-12-11,2020-12-11,Booking.com,Płatność Booking.com,PL43275279245145355830617737,Santander,6483306674,-132.43,EUR,Konto w USD,-6366925.83,EUR,0
327,2020-12-14,2020-12-15,Booking.com,Płatność Booking.com,PL79429439746564546077200211,Santander,4965615534,-346.36,EUR,Konto w USD,-6367272.19,EUR,0
